# kappa_CO Color Extended Emission_line_flux
1.406116677858368635e-01 -1.219776852274695234e+00 -2.224731402822951454e-01 8.469675112440233633e-03
-1.437756794111505754e-01 4.827390825909345651e-01 6.744970437468610081e-02 1.712185280179271893e-02
1.442311387520223143e-01 -1.021272585269835664e+00 -1.366865468785492255e-01 8.734745405271615235e-03
3.125725626523196549e-02 -1.711240232184305099e-01 6.996140445380872874e-01 9.235176574691765852e-03
7.242902488447379439e-02 -4.395608918737293203e-01 -1.955332451205956390e-01 1.517987863030560367e-02
7.549241225379239584e-01 1.468658453439416256e+00 -3.096725357879209078e-02 1.448982192004367661e-02
-1.279474339531413207e+00 6.490734914780335041e-01 -1.539732421568342502e-01 1.012139662570612358e-02
-9.078585578767294217e-01 -8.117919264785483646e-01 -9.671350259211247691e-02 3.902193292261497536e-03
-9.529950441414581919e-01 -1.753692385620543082e+00 -1.451195081404300646e-01 7.601175483294832919e-03
-1.501956335632108619e+00 -8.164455441803696312e-01 -1.474863256328698691e-01 8.127941958992438917e-03
1.633155569589636036e+00 2.581400664195680150e+00 2.350150279293048913e-02 6.030450983111661223e-02
-7.367797856182010940e-02 1.676355012977869041e+00 9.256945323012133464e-01 1.274989224320824573e-02
-8.327248311907355927e-01 -1.396133217137772053e+00 2.609874489062379066e+00 9.402156089638001937e-03
3.697805484082228311e-02 3.788485686227642257e-01 -2.517457019375991534e-01 2.045278196476669336e-02
1.771195853022107691e+00 6.736744388367202907e-01 -7.856654927918356457e-02 2.112676687688453542e-02
8.459317097030457644e-01 4.894603076336179193e-01 -1.931001342111585140e-01 2.102944097084023453e-02
3.596629010645870927e-01 4.676942792232351986e-01 2.106175530980625599e+00 9.057667076189171440e-03
-1.266994157383091846e+00 -1.897252940989570424e+00 -1.257396284643106377e-01 7.608835297546452311e-03
-7.765817226584187383e-01 6.099380003629553126e-01 -2.156176295327100201e-01 -2.969753126946120605e-02
-1.746866739231030863e+00 -3.055879133254280067e-01 1.500898733824632902e+00 3.786186281351142883e-03
-1.272759181800201311e+00 -2.615216135127778951e+00 -2.062154444234056139e-01 -3.083037159665608443e-02
7.350959360020885569e-01 1.489486145553529983e+00 -2.515519042768074032e-01 7.764911963176872670e-03
-1.505895333627620181e+00 -1.106494262105439885e+00 9.469855919149167134e-02 8.015202835966852082e-03
-4.794664240048128467e-02 8.344869437424154990e-01 -2.521711989900312090e-01 -4.906971159390264431e-03
-1.361849396828023639e+00 -3.556847518203702374e-01 -4.712953934392102515e-03 8.416166390182588594e-03
8.885620125109287004e-01 -1.324983670745011888e-01 -2.308477004792663378e-01 9.672664167570635407e-03
-1.615626862359336835e+00 -7.617169779011555564e-01 -6.328045579138169563e-02 9.904408844922829580e-03
-1.151187492229574172e+00 7.377557404479940795e-01 -2.205734218469493635e-01 6.477543209787437091e-03
-5.292945100035404415e-01 1.175734616398170090e-01 4.247235915239301329e-01 1.206434627278539506e-02
-1.424527369735075107e-02 -7.067400084944289729e-01 -2.148405811241277108e-01 1.404548959169927419e-02
-9.764399433833856889e-01 -3.737194093749343082e-01 -9.443944623050445908e-02 9.240173041682541930e-03
-1.522137705287294862e+00 -1.423938190690791972e+00 -2.337101658146852889e-01 1.033895364963445355e-02
-1.620830571902173833e+00 -4.859023280889009366e-01 -1.373356286379178726e-01 8.303544481056645415e-03
4.451434722853384041e-01 -6.986571362588344103e-01 -1.568934382792390170e-01 1.496449822156668309e-02
7.873463244632710190e-01 -1.236604454104154538e+00 -2.188402818002478378e-01 1.349981274803218820e-02
1.594321040661919486e+00 1.046401276417860071e+00 -2.515915434052454214e-01 -5.823899843117397515e-03
4.611394915302207687e-01 9.616645109201821251e-01 -2.080212747974892751e-01 1.841004454884418925e-02
-3.182748315665998029e-01 -8.691679945783972183e-01 -1.931945860617063082e-01 7.738359774756590689e-03
8.259272610733041364e-02 -1.439966529316910826e+00 -1.505740907497796488e-01 1.008891793863940858e-02
-1.396741751767116568e+00 -1.000775383561607335e+00 1.164700428272500005e-01 8.085059463768067695e-03
2.479762934578562394e-01 7.070218884662110570e-01 -2.246725785331780967e-01 2.070291681443965637e-02
-1.774211206959294129e+00 4.202553520992324820e-01 -1.926402170590440360e-02 1.096338681410392174e-02
